Print;Drucken
talia.material descriptions.def;Faksimile-Edition basierend auf den Beständen des Nietzsche Archivs der Klassik Stiftung Weimar.
talia.types.copybook;Schreibheft
talia.types.dossier;Mappe
talia.types.icn;
talia.material descriptions.def w i 1;Quartheft. 166 Seiten. Aufzeichnungen zu Za. Pläne, Dispositionen, Fragmente, Exzerpte. Frühjahr 1884.
talia.material descriptions.def w i 2;Quartheft. 168 Seiten. Pläne, Dispositionen, Fragmente, Exzerpte. Aufzeichnungen zu Za IV. Sommer-Herbst 1884.
talia.material descriptions.def z i 2;Quartheft. 122 Seiten. Spruchsammlung. Aufzeichnungen zu Za I und JGB. Dispositionen und Fragmente. November 1882-Februar 1883. August September 1885. Herbst 1885
talia.material descriptions.def z i 4;Großoktavheft. 238 Seiten. Aufzeichnungen zu Za. Pläne, Dispositionen und Fragmente. Reinschrift zu Za II. Sommer 1883
DEF-W-I-1;Quartheft. 166 Seiten. Aufzeichnungen zu Za. Pläne, Dispositionen, Fragmente, Exzerpte. Frühjahr 1884.
DEF-W-I-1,5;W I 1 Seite 5 
facing pages;Gegenüberliegende Seiten
talia.material descriptions.def n vi 5;Duodezheft. 110 Seiten. Zarathustra-Entwürfe und -Fragmente (zu einem 3. und 4. Teil). Gelegenheitsnotizen. Sommer Herbst 1883
talia.material descriptions.def n vi 6;Oktavheft. 200 Seiten. Gelegenheitsnotizen. Zarathustra-Entwürfe und -Fragmente. Vorstufen zu Za III. Herbst 1883.
talia.material descriptions.def mp xv 3;"Aufzeichnungen zu Za I. Pläne und Entwürfe zu einem 3. und 4. Teil des ""Zarathustra"" (vor dem endgültigen Za III). November 1882-Februar 1883. Herbst 1883."
talia.material descriptions.def za iv;Also sprach Zarathustra. Ein Buch für Alle und Keinen, 4. Vierter und letzter Theil. Privatdruck. Leipzig: C. G. Naumann 1885. Also sprach Zarathustra. Ein Buch für Alle und Keinen. In drei Theilen. Leipzig: E. W. Fritzsch 1887.
DEF-N-VI-5;Duodezheft. 110 Seiten. Zarathustra-Entwürfe und -Fragmente (zu einem 3. und 4. Teil). Gelegenheitsnotizen. Sommer Herbst 1883.
DEF-N-VI-5,3;N VI 5 Seite 3
DEF-N-VI-5,4;N VI 5 Seite 4
DEF-N-VI-5,3 | DEF-N-VI-5,4;N VI 5 Seite 3 | N VI 5 Seite 4
